code,name,gender,country_long,nationality_long,birth_date
1919826,HASHIOKA Yuki,Male,Japan,Japan,23/01/1999
1919827,HATA Sumire,Female,Japan,Japan,04/05/1996
1919832,HIGASHIDA Akihiro,Male,Japan,Japan,13/12/1995
1919847,IIZUKA Shota,Male,Japan,Japan,25/06/1991
1919850,IKEDA Koki,Male,Japan,Japan,03/05/1998
1919880,IZUMIYA Shunsuke,Male,Japan,Japan,26/01/2000
1919882,KABASAWA Wakana,Female,Japan,Japan,24/03/1999
1919895,KAWABATA Kaito,Male,Japan,Japan,17/08/1998
1919901,KAWANO Masatora,Male,Japan,Japan,23/10/1998
1919911,KIRYU Yoshihide,Male,Japan,Japan,15/12/1995
1919914,KITAGUCHI Haruka,Female,Japan,Japan,16/03/1998
1919921,KOGA Yuta,Male,Japan,Japan,15/07/1999
1919924,KOKAI Haruka,Female,Japan,Japan,20/01/2003
1919930,KOYAMA Naoki,Male,Japan,Japan,12/05/1996
1919973,CAO Liguo,Male,People's Republic of China,People's Republic of China,04/10/1998
1919979,QIAN Haitao,Male,People's Republic of China,People's Republic of China,12/08/1996
1919983,MENG Lingzhe,Male,People's Republic of China,People's Republic of China,16/04/1998
1919986,ZOU Wanhao,Male,People's Republic of China,People's Republic of China,29/03/1998
1919992,LU Feng,Male,People's Republic of China,People's Republic of China,10/12/2003
1919996,HABILA Awusayiman,Male,People's Republic of China,People's Republic of China,01/06/1998
1919998,DENG Zhiwei,Male,People's Republic of China,People's Republic of China,12/02/1988
1920000,FENG Ziqi,Female,People's Republic of China,People's Republic of China,29/06/1999
1920006,PANG Qianyu,Female,People's Republic of China,People's Republic of China,13/11/1996
1920010,HONG Kexin,Female,People's Republic of China,People's Republic of China,06/01/2003
1920016,ZHOU Feng,Female,People's Republic of China,People's Republic of China,12/09/1993
1920021,WANG Juan,Female,People's Republic of China,People's Republic of China,14/04/1995
1920049,NYAHORA Rutendo Joan,Female,Zimbabwe,Zimbabwe,11/11/1988
